1,34,0,20
2,42,1,23
3,36,1,22
4,34,0,23
5,34,1,22
6,34,1,22
7,33,1,22
8,34,0,21
9,30,0,21
10,30,1,20
11,31,1,21
12,31,0,21
13,31,1,21
14,33,1,21
15,37,1,22
16,35,1,20
17,33,1,20
18,33,1,20
19,29,1,19
20,30,0,17
21,29,1,18
22,31,0,19
23,31,1,18
24,32,1,19
25,32,1,20
26,30,0,20
27,29,1,19
28,38,1,22
29,47,1,22
30,38,1,20
31,52,1,23
32,94,2,27
33,94,2,26
34,100,2,29
35,85,1,27
36,65,1,23
37,50,1,21
38,60,1,23
39,53,1,22
40,40,1,22
41,36,1,20
42,37,1,20
43,34,1,19
44,34,1,20
45,32,1,19
46,31,0,17
47,36,1,20
48,34,1,20
49,41,1,20
50,42,1,21
51,43,1,21
52,35,1,19
53,37,1,20
54,34,1,19
55,36,0,18
56,35,1,18
57,34,1,18
58,46,1,20
59,36,1,19
60,42,1,20
61,47,1,21
62,38,1,19
63,35,1,19
64,39,1,19
65,34,1,18
66,34,1,17
67,31,1,19
68,44,1,19
69,34,1,18
70,34,1,16
71,30,0,15
72,32,1,18
73,34,1,18
74,36,0,19
75,36,1,19
76,32,0,18
77,33,1,18
78,35,0,18
79,35,1,19
80,34,0,18
81,33,0,18
82,35,1,17
83,33,0,16
84,32,0,17
85,30,0,16
86,30,0,17
87,33,0,17
88,33,0,17
89,29,0,16
90,33,0,16
91,31,0,17
92,31,0,18
93,32,0,17
94,31,0,16
95,34,0,16
96,35,0,15
97,55,1,18
98,73,1,21
99,48,1,18
100,42,1,18
101,38,0,17
102,41,1,18
103,44,1,18
104,42,0,19
105,36,0,17
106,33,0,16
107,34,1,17
108,41,0,17
109,42,1,17
110,44,1,18
111,33,0,17
112,33,0,17
113,36,0,17
114,32,0,17
115,30,0,16
116,32,0,17
117,30,0,16
118,29,0,16
119,34,0,17
120,33,0,17
121,39,0,17
122,34,0,17
123,33,0,17
124,31,0,17
125,37,0,16
126,29,0,13
127,33,0,17
128,31,0,16
129,34,1,16
130,32,0,16
131,30,0,17
132,38,0,17
133,33,0,16
134,32,0,16
135,36,0,17
136,33,0,16
137,35,0,16
138,36,0,16
139,33,0,15
140,32,0,14
141,33,0,14
142,31,0,14
143,32,0,15
144,30,0,15
145,37,0,16
146,36,0,16
147,33,0,15
148,36,0,16
149,31,0,13
150,32,0,13
151,28,0,12
152,29,0,13
153,31,0,15
154,38,0,16
155,30,0,15
156,50,0,17
157,34,0,16
158,31,0,14
159,32,0,14
160,37,0,14
161,35,0,13
162,42,0,14
163,38,0,15
164,34,0,15
165,33,0,15
166,33,0,14
167,30,0,14
168,30,0,14
169,29,0,14
170,27,0,14
171,26,0,13
172,29,0,14
173,29,0,15
174,27,0,14
175,29,0,13
176,32,0,13
177,30,0,13
178,31,0,15
179,28,0,13
180,29,0,14
181,29,0,15
182,35,0,15
183,26,0,12
184,29,0,14
185,30,0,14
186,28,0,14
187,28,0,13
188,27,0,13
189,31,0,14
190,37,0,14
191,43,0,14
192,34,0,13
193,32,0,13
194,39,0,13
195,30,0,12
196,29,0,12
197,32,0,14
198,33,0,13
199,30,0,12
200,34,0,13
201,34,0,12
202,28,0,10
203,30,0,12
204,29,0,13
205,31,0,13
206,30,0,13
207,30,0,12
208,29,0,12
209,30,0,13
210,35,0,14
211,35,0,13
212,31,0,13
213,30,0,13
214,31,0,13
215,29,0,13
216,28,0,12
217,29,0,12
218,28,0,13
219,35,0,12
220,35,0,13
221,33,0,12
222,31,0,12
223,29,0,11
224,30,0,12
225,29,0,11
226,34,0,11
227,30,0,10
228,33,0,12
229,33,0,12
230,41,0,12
231,38,0,12
232,47,0,14
233,47,0,13
234,34,0,12
235,41,0,13
236,36,0,13
237,32,0,11
238,32,0,12
239,30,0,11
240,30,0,11
241,37,0,11
242,38,0,11
243,41,0,11
244,34,0,12
245,39,0,11
246,33,0,11
247,30,0,10
248,30,0,11
249,30,0,11
250,30,0,10
251,30,0,10
252,30,0,9
253,32,0,10
254,37,0,11
255,39,0,11
256,38,0,11
257,42,0,11
258,36,0,11
259,61,0,12
260,38,0,11
